point_id,rot_x,rot_y,rot_z,optimal_thresholds,optimal_lod
0,-15.0,0.0,0.0,0.045002671492611175,3
0,-15.0,45.0,0.0,0.045002671492611175,3
0,-15.0,90.0,0.0,0.045002671492611175,3
0,-15.0,135.0,0.0,0.3040960489600732,0
0,-15.0,180.0,0.0,0.3040960489600732,0
0,-15.0,225.0,0.0,0.3040960489600732,0
0,-15.0,270.0,0.0,0.3040960489600732,0
0,-15.0,315.0,0.0,0.3040960489600732,0
0,0.0,0.0,0.0,0.045002671492611175,3
0,0.0,45.0,0.0,0.045002671492611175,3
0,0.0,90.0,0.0,0.045002671492611175,3
0,0.0,135.0,0.0,0.3040960489600732,0
0,0.0,180.0,0.0,0.3040960489600732,0
0,0.0,225.0,0.0,0.3040960489600732,0
0,0.0,270.0,0.0,0.3040960489600732,0
0,0.0,315.0,0.0,0.3040960489600732,0
0,15.0,0.0,0.0,0.045002671492611175,3
0,15.0,45.0,0.0,0.045002671492611175,3
0,15.0,90.0,0.0,0.045002671492611175,3
0,15.0,135.0,0.0,0.3040960489600732,0
0,15.0,180.0,0.0,0.3040960489600732,0
0,15.0,225.0,0.0,0.3040960489600732,0
0,15.0,270.0,0.0,0.3040960489600732,0
0,15.0,315.0,0.0,0.3040960489600732,0
1,-15.0,0.0,0.0,0.045002671492611175,3
1,-15.0,45.0,0.0,0.045002671492611175,3
1,-15.0,90.0,0.0,0.045002671492611175,3
1,-15.0,135.0,0.0,0.3040960489600732,0
1,-15.0,180.0,0.0,0.3040960489600732,0
1,-15.0,225.0,0.0,0.3040960489600732,0
1,-15.0,270.0,0.0,0.3040960489600732,0
1,-15.0,315.0,0.0,0.3040960489600732,0
1,0.0,0.0,0.0,0.045002671492611175,3
1,0.0,45.0,0.0,0.045002671492611175,3
1,0.0,90.0,0.0,0.045002671492611175,3
1,0.0,135.0,0.0,0.3040960489600732,0
1,0.0,180.0,0.0,0.3040960489600732,0
1,0.0,225.0,0.0,0.3040960489600732,0
1,0.0,270.0,0.0,0.3040960489600732,0
1,0.0,315.0,0.0,0.12929781466099513,1
1,15.0,0.0,0.0,0.045002671492611175,3
1,15.0,45.0,0.0,0.045002671492611175,3
1,15.0,90.0,0.0,0.045002671492611175,3
1,15.0,135.0,0.0,0.3040960489600732,0
1,15.0,180.0,0.0,0.3040960489600732,0
1,15.0,225.0,0.0,0.3040960489600732,0
1,15.0,270.0,0.0,0.3040960489600732,0
1,15.0,315.0,0.0,0.046705674562703366,2
2,-15.0,0.0,0.0,0.045002671492611175,3
2,-15.0,45.0,0.0,0.045002671492611175,3
2,-15.0,90.0,0.0,0.045002671492611175,3
2,-15.0,135.0,0.0,0.3040960489600732,0
2,-15.0,180.0,0.0,0.3040960489600732,0
